2022-09-12 11:48:55 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2022-09-12 11:48:55 0 [Note] InnoDB: Uses event mutexes
2022-09-12 11:48:55 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2022-09-12 11:48:55 0 [Note] InnoDB: Number of pools: 1
2022-09-12 11:48:55 0 [Note] InnoDB: Using SSE2 crc32 instructions
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=277] with future log sequence number 2653839
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=382] with future log sequence number 2653839
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=275] with future log sequence number 2653795
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=436] with future log sequence number 2653795
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=274] with future log sequence number 2653751
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=426] with future log sequence number 2653751
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=273] with future log sequence number 2653691
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=425] with future log sequence number 2653691
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=271] with future log sequence number 2653647
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=432] with future log sequence number 2653647
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=270] with future log sequence number 2653603
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=424] with future log sequence number 2653603
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=269] with future log sequence number 2653559
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=423] with future log sequence number 2653559
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=268] with future log sequence number 2653515
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=371] with future log sequence number 2653515
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=267] with future log sequence number 2653471
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=430] with future log sequence number 2653471
2022-09-12 11:48:55 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=266] with future log sequence number 2653427
